,img,fld,TF_name,blur_lapl,blur_ski,patch_size,mean_intensity,sum_intensity,median_intensity,standard_deviation,variance,skewness,kurtosis,interquartile_range ,entropy,Perimeter,area_Test,axis_major_length,feret_diameter_max,axis_minor_length,solidity,gabro_0,gabro_1,gabro_2,gabro_3,gabro_4,gabro_5,gabro_6,gabro_7,gabro_8,gabro_9,gabro_10,gabro_11,gabro_12,gabro_13,gabro_14,gabro_15,lbp_0,lbp_1,lbp_2,lbp_3,lbp_4,lbp_5,lbp_6,lbp_7
,-1,0,None,False,False,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
patch_0,0,1,C - 1,False,False,1010,947.7485148514852,957226,959.5,102.0375397953974,10411.659527497306,-0.4860171611832121,0.14813497710018853,126.75,6.911770311997644,121.63961030678927,1010.0,41.24180868979488,41.97618372363071,32.28951791215166,0.957345971563981,0.12042682926829268,0.010670731707317074,0.054878048780487805,0.009146341463414634,0.012195121951219513,0.036585365853658534,0.44664634146341464,0.013719512195121951,0.041158536585365856,0.04420731707317073,0.036585365853658534,0.007621951219512195,0.038109756097560975,0.056402439024390245,0.0625,0.009146341463414634,0.19910179640718562,0.18712574850299402,0.10778443113772455,0.11526946107784432,0.08832335329341318,0.09131736526946108,0.06736526946107785,0.1437125748502994
patch_1,0,1,C - 1,False,False,1472,1158.4157608695652,1705188,1161.5,131.79317612583029,17369.441273334123,-0.1677226850338859,-0.2263501409272468,180.0,7.287823755585345,143.29646455628165,1472.0,47.01964682439421,48.30113870293329,40.07127222315867,0.9741892786234282,0.5198863636363636,0.008522727272727272,0.06676136363636363,0.007102272727272727,0.022727272727272728,0.0625,0.007102272727272727,0.014204545454545454,0.005681818181818182,0.024147727272727272,0.005681818181818182,0.15482954545454544,0.005681818181818182,0.028409090909090908,0.02556818181818182,0.041193181818181816,0.20871327254305977,0.18135764944275581,0.12056737588652482,0.0851063829787234,0.06889564336372847,0.0800405268490375,0.08611955420466058,0.1691995947315096
patch_2,0,1,C - 1,False,False,1423,920.6521433591005,1310088,923.0,87.65900846208389,7684.101764555696,-0.1603549179129288,0.09252279543751207,112.5,7.255944616950622,141.53910524340094,1423.0,45.19426523225496,46.8187996428785,40.333283256508935,0.9726589200273411,0.5188953488372093,0.005813953488372093,0.03197674418604651,0.00436046511627907,0.061046511627906974,0.005813953488372093,0.007267441860465116,0.01744186046511628,0.010174418604651164,0.061046511627906974,0.1555232558139535,0.0436046511627907,0.0436046511627907,0.007267441860465116,0.00436046511627907,0.02180232558139535,0.21114683815648447,0.17792068595927116,0.11146838156484459,0.1082529474812433,0.06430868167202572,0.0782422293676313,0.09431939978563773,0.15434083601286175
patch_3,0,1,C - 1,False,False,2067,869.0856313497823,1796400,870.0,66.6309284103697,4439.680620827812,0.08479190639938274,0.009391704951516644,89.0,7.630912339256128,174.61017305526642,2067.0,62.942611303869135,64.5600495662759,42.03623584790881,0.9759206798866855,0.5110887096774194,0.010080645161290322,0.07862903225806452,0.02217741935483871,0.005040322580645161,0.006048387096774193,0.006048387096774193,0.04334677419354839,0.0030241935483870967,0.05040322580645161,0.005040322580645161,0.005040322580645161,0.02721774193548387,0.04032258064516129,0.1663306451612903,0.020161290322580645,0.23809523809523808,0.1881342701014832,0.11631537861046058,0.07728337236533958,0.06479313036690086,0.07728337236533958,0.07103825136612021,0.16705698672911787
patch_4,0,1,C - 1,False,False,1206,868.2487562189054,1047108,868.5,74.06035688523762,5484.936461968763,-0.08629979006482044,-0.0923615124132211,98.0,7.091404456564045,143.88225099390854,1206.0,57.6232246837317,55.54277630799526,27.189466668325863,0.9563838223632039,0.17060810810810811,0.010135135135135136,0.037162162162162164,0.006756756756756757,0.005067567567567568,0.008445945945945946,0.052364864864864864,0.008445945945945946,0.048986486486486486,0.048986486486486486,0.005067567567567568,0.005067567567567568,0.543918918918919,0.006756756756756757,0.006756756756756757,0.03547297297297297,0.22715404699738903,0.185378590078329,0.09660574412532637,0.10182767624020887,0.06005221932114883,0.08093994778067885,0.08616187989556136,0.1618798955613577
patch_5,0,1,C - 1,False,False,763,862.2346002621232,657885,861.0,70.13347139116202,4918.703809374941,0.06941027550088337,-0.13241933898151848,98.5,6.633945721894939,102.32590180780451,763.0,35.02552545869865,36.40054944640259,27.80065496584361,0.9707379134860051,0.1732142857142857,0.005357142857142857,0.075,0.01607142857142857,0.008928571428571428,0.05357142857142857,0.017857142857142856,0.010714285714285714,0.04107142857142857,0.005357142857142857,0.04285714285714286,0.008928571428571428,0.05714285714285714,0.007142857142857143,0.026785714285714284,0.45,0.24643584521384929,0.1934826883910387,0.09979633401221996,0.109979633401222,0.054989816700611,0.07331975560081466,0.06109979633401222,0.16089613034623218
patch_6,0,1,C - 1,False,False,895,907.3262569832402,812057,907.0,76.32083655656388,5824.870092693737,0.03906462817993689,0.02743960102162024,104.0,6.793277084367975,111.74011537017759,895.0,36.606257922738855,37.656340767525464,31.184950306383758,0.9613319011815252,0.13344594594594594,0.008445945945945946,0.011824324324324325,0.07601351351351351,0.010135135135135136,0.028716216216216218,0.4560810810810811,0.04054054054054054,0.02027027027027027,0.04222972972972973,0.048986486486486486,0.006756756756756757,0.005067567567567568,0.03547297297297297,0.013513513513513514,0.0625,0.2443280977312391,0.19720767888307156,0.10645724258289703,0.07504363001745201,0.055846422338568937,0.09075043630017451,0.06282722513089005,0.16753926701570682
patch_7,0,1,C - 1,False,False,442,873.0565610859728,385891,873.0,68.96863976788137,4756.673271431789,0.030641626203373504,0.2598690683221192,84.75,6.088181368615096,75.94112549695429,442.0,25.26600500717318,26.40075756488817,22.297071231959276,0.9714285714285714,0.1225,0.0125,0.0325,0.0175,0.07,0.455,0.01,0.0575,0.0175,0.005,0.03,0.0075,0.0475,0.0225,0.0625,0.03,0.24829931972789115,0.20408163265306123,0.10204081632653061,0.08163265306122448,0.047619047619047616,0.08843537414965986,0.05442176870748299,0.17346938775510204
patch_8,0,1,C - 1,False,False,1042,791.5,824743,792.0,64.91604278115452,4214.092610364683,0.1138929719712615,0.3149755415570268,90.0,6.945531863496022,142.46803743153546,1042.0,56.87228077504056,52.20153254455275,25.9090970385592,0.8625827814569537,0.03,0.01125,0.625,0.00625,0.01875,0.0775,0.005,0.005,0.06375,0.0325,0.005,0.03,0.035,0.04375,0.0075,0.00375,0.23607038123167157,0.18475073313782991,0.10557184750733138,0.10117302052785923,0.054252199413489736,0.0689149560117302,0.07331378299120235,0.17595307917888564
