,patch,img,TF_name,blur_lapl,blur_ski,patch_size,mean_intensity,sum_intensity,median_intensity,standard_deviation,variance,skewness,kurtosis,interquartile_range ,entropy,Perimeter,area_Test,axis_major_length,feret_diameter_max,axis_minor_length,solidity,similarity,hull area,correlation coef,gabro_0,gabro_1,gabro_2,gabro_3,gabro_4,gabro_5,gabro_6,gabro_7,gabro_8,gabro_9,gabro_10,gabro_11,gabro_12,gabro_13,gabro_14,gabro_15,lbp_0,lbp_1,lbp_2,lbp_3,lbp_4,lbp_5,lbp_6,lbp_7,Circularity
0,patch_6,1,C - 7,False,False,557,790.6660682226212,440401,790.0,56.20969154105694,3159.529423140768,0.1669148778185139,-0.0790071434417178,75.0,6.320042126087103,98.18376618407356,557,40.62965709003555,40.311288741492746,17.651083029846028,0.948892674616695,0.106,587,-0.03896,0.4479166666666667,0.0104166666666666,0.0763888888888889,0.0208333333333333,0.0138888888888888,0.1701388888888889,0.0104166666666666,0.0416666666666666,0.0625,0.0173611111111111,0.0138888888888888,0.0104166666666666,0.0486111111111111,0.0381944444444444,0.0104166666666666,0.0069444444444444,0.2594594594594595,0.1675675675675675,0.0945945945945946,0.1027027027027027,0.0648648648648648,0.0837837837837837,0.0891891891891892,0.1378378378378378,0.7260820246868296
1,patch_7,1,C - 7,False,False,739,1042.8024357239512,770631,926.0,274.83390273800387,75533.67409420258,1.426281940348736,4.366982242533646,425.5,6.573138623216087,108.08326112068522,739,42.13054067495123,42.579337712087536,22.51246464482983,0.953548387096774,0.526,775,-0.1815,0.4583333333333333,0.0078125,0.0130208333333333,0.0390625,0.0078125,0.1875,0.0078125,0.0859375,0.0078125,0.0364583333333333,0.0078125,0.0104166666666666,0.046875,0.0104166666666666,0.0260416666666666,0.046875,0.2088353413654618,0.178714859437751,0.1024096385542168,0.1285140562248996,0.0763052208835341,0.0783132530120482,0.0763052208835341,0.1506024096385542,0.7949456234058259
2,patch_8,1,C - 7,False,False,680,841.535294117647,572244,831.0,89.42954138299223,7997.642871972319,2.103110937398302,8.156273455415894,81.0,6.516773692612677,100.08326112068522,680,34.500879609985056,35.11409973215888,25.717456640062828,0.9577464788732394,0.191,710,-0.27062,0.0661764705882353,0.5588235294117647,0.0110294117647058,0.0055147058823529,0.0330882352941176,0.0514705882352941,0.0073529411764705,0.0073529411764705,0.0404411764705882,0.03125,0.0073529411764705,0.0772058823529411,0.0165441176470588,0.0147058823529411,0.0073529411764705,0.0643382352941176,0.2471395881006865,0.1784897025171624,0.091533180778032,0.1121281464530892,0.0892448512585812,0.0823798627002288,0.0640732265446224,0.1350114416475972,0.8530920224210092
3,patch_9,1,C - 7,False,False,1234,870.4554294975688,1074142,845.0,117.99420379901714,13922.632130163993,1.7434024604166678,3.525603268794696,101.75,7.109404063884093,138.12489168102783,1234,50.288218157395775,50.15974481593781,32.00999495462573,0.9514263685427912,0.259,1297,-0.37695,0.032051282051282,0.0064102564102564,0.532051282051282,0.0144230769230769,0.0064102564102564,0.0496794871794871,0.0817307692307692,0.0048076923076923,0.0064102564102564,0.0048076923076923,0.0448717948717948,0.0080128205128205,0.016025641025641,0.0064102564102564,0.1810897435897435,0.0048076923076923,0.2,0.2012195121951219,0.0975609756097561,0.1,0.0914634146341463,0.0804878048780487,0.0695121951219512,0.1597560975609756,0.8127951861807577
4,patch_11,1,C - 7,False,False,1106,828.9701627486438,916841,829.0,56.70342577755088,3215.278494910221,-0.0520131297741916,-0.0829045444122353,77.0,7.006157576732777,125.63961030678928,1106,44.62066665552252,44.94441010848846,31.710931546387307,0.9693251533742332,0.448,1141,0.02044,0.510670731707317,0.0076219512195121,0.0304878048780487,0.0060975609756097,0.0076219512195121,0.0121951219512195,0.0381097560975609,0.0076219512195121,0.0091463414634146,0.0579268292682926,0.0228658536585365,0.0457317073170731,0.0640243902439024,0.0121951219512195,0.1478658536585365,0.0198170731707317,0.2348901098901099,0.1923076923076923,0.0934065934065934,0.081043956043956,0.0576923076923076,0.0865384615384615,0.0769230769230769,0.1771978021978022,0.8804644585393012
5,patch_12,1,C - 7,False,False,1718,1037.2153667054715,1781936,944.0,216.99259429850412,47085.785980395216,0.8697190773081254,-0.4592462411545752,332.75,7.428019440899995,155.78174593052023,1718,48.94157842393033,51.419840528729765,45.07995620850943,0.97281993204983,0.419,1766,0.15931,0.48625,0.01375,0.00875,0.055,0.00875,0.0075,0.16875,0.0425,0.02375,0.005,0.0375,0.0075,0.0075,0.00375,0.04625,0.0775,0.1843003412969283,0.1646757679180887,0.1032423208191126,0.1271331058020477,0.0887372013651877,0.106655290102389,0.091296928327645,0.1339590443686006,0.8896104784869308
6,patch_13,1,C - 7,False,False,2221,884.9387663214768,1965449,880.0,69.6600857209301,4852.52754264733,0.6855319964069918,1.4819302019136869,86.0,7.702657277856419,185.78174593052023,2221,70.7752238158623,70.25667228100119,40.23243722710956,0.9741228070175438,0.275,2280,0.01144,0.5107142857142857,0.0089285714285714,0.0705357142857142,0.0044642857142857,0.0857142857142857,0.00625,0.0473214285714285,0.0044642857142857,0.0205357142857142,0.1464285714285714,0.0348214285714285,0.0205357142857142,0.0214285714285714,0.0053571428571428,0.0044642857142857,0.0080357142857142,0.2338308457711442,0.1833688699360341,0.0973702914001421,0.0966595593461265,0.0518834399431414,0.0739161336176261,0.0859985785358919,0.1769722814498933,0.8086346420804554
7,patch_14,1,C - 7,False,False,1743,846.3711990820425,1475225,846.0,58.180426597993005,3384.962039124452,0.1289820244740482,0.1405667099261802,73.0,7.461001547418901,157.1959594928933,1743,54.52444382551348,55.15432893255071,40.84911489735496,0.9759238521836506,0.556,1786,0.00698,0.0180555555555555,0.0055555555555555,0.5180555555555556,0.0083333333333333,0.0055555555555555,0.0180555555555555,0.0069444444444444,0.0541666666666666,0.0680555555555555,0.0069444444444444,0.0416666666666666,0.0069444444444444,0.0333333333333333,0.0222222222222222,0.1819444444444444,0.0041666666666666,0.2273135669362084,0.1752021563342318,0.1203953279424977,0.0907457322551662,0.059299191374663,0.0772686433063791,0.0700808625336927,0.1796945193171608,0.8863892764789529
8,patch_15,1,C - 7,False,False,1082,893.1839186691312,966425,876.0,106.2313260753494,11285.094639727213,3.152089539602004,15.289388240936944,86.0,6.980157311319405,136.95331880577402,1082,54.23170012324261,53.33854141237835,26.0571813344838,0.9474605954465848,0.261,1142,-0.25422,0.1199324324324324,0.0084459459459459,0.0084459459459459,0.0422297297297297,0.0067567567567567,0.0101351351351351,0.0608108108108108,0.0591216216216216,0.0084459459459459,0.0067567567567567,0.5523648648648649,0.0050675675675675,0.0084459459459459,0.0439189189189189,0.0523648648648648,0.0067567567567567,0.2403560830860534,0.1854599406528189,0.1053412462908011,0.1008902077151335,0.0548961424332344,0.0756676557863501,0.0801186943620178,0.1572700296735905,0.7249232064588307
9,patch_16,1,C - 7,False,False,1321,822.2869038607116,1086241,822.0,56.42522846068832,3183.8064068408707,0.0647567604750961,-0.0863759708233264,74.0,7.183788061519243,137.05382386916236,1321,45.563333905151886,48.373546489791295,37.18105768019053,0.97060984570169,0.451,1361,0.02194,0.5182926829268293,0.0076219512195121,0.0289634146341463,0.0152439024390243,0.0045731707317073,0.0792682926829268,0.010670731707317,0.0076219512195121,0.0045731707317073,0.0381097560975609,0.0579268292682926,0.1554878048780487,0.0060975609756097,0.0060975609756097,0.0396341463414634,0.0198170731707317,0.2548076923076923,0.1766826923076923,0.1057692307692307,0.0817307692307692,0.0612980769230769,0.063701923076923,0.0757211538461538,0.1802884615384615,0.8837519142065694
